Layer,Compute,ConfigModeled,ConfigOverlapped,ResidualConfig,ConfigStall,DrainStall,DataStall,PrefetchFetchedBytes,DramBusy,WallClock,Total,DRAMBusyPct
Embeddings,500000,625,0,625,625,50,4497,0,256366,505176,505172,50.75
Attn_1,8000000,938,0,938,938,50,4743,0,2048610,8005735,8005731,25.59
FFN_1,6000000,469,0,469,469,50,4497,0,1024366,6005020,6005016,17.06
Attn_2,8000000,938,0,938,938,50,4743,0,2048610,8005735,8005731,25.59
FFN_2,6000000,469,0,469,469,50,4497,0,1024366,6005020,6005016,17.06
TOTAL,28500000,3439,0,3439,3439,250,22977,0,6402318,28526686,28526666,22.44
