Layer,Compute,ConfigModeled,ConfigOverlapped,ResidualConfig,ConfigStall,DrainStall,DataStall,PrefetchFetchedBytes,DramBusy,WallClock,Total,DRAMBusyPct
Embeddings,1000000,5000000,0,5000000,5000000,50,8065077,0,13951160,14065131,14065127,99.19
Attn_1,2000000,11250000,1000000,10250000,10250000,50,8065056,4344384,20151532,20315110,20315106,99.19
FFN_1,1500000,8750000,2000000,6750000,6750000,50,8065147,0,16183126,16315201,16315197,99.19
Attn_2,2000000,11250000,1500000,9750000,9750000,50,8065173,3352000,19655524,19815227,19815223,99.19
FFN_2,1500000,8750000,2000000,6750000,6750000,50,0,0,4932861,8250054,8250050,59.79
TOTAL,8000000,45000000,6500000,38500000,38500000,250,32260453,7696384,74874203,78760723,78760703,95.07
