Layer,Compute,ConfigModeled,ConfigOverlapped,ResidualConfig,ConfigStall,DrainStall,DataStall,PrefetchFetchedBytes,DramBusy,WallClock,Total,DRAMBusyPct
Embeddings,1000000,5000000,0,5000000,5000000,50,1011744,0,1995769,7011798,7011794,28.46
Attn_1,2000000,11250000,0,11250000,11250000,50,8065056,0,9983992,21315110,21315106,46.84
FFN_1,1500000,8750000,0,8750000,8750000,50,8065056,0,9487876,18315110,18315106,51.80
Attn_2,2000000,11250000,0,11250000,11250000,50,8065056,0,9983996,21315110,21315106,46.84
FFN_2,1500000,8750000,0,8750000,8750000,50,8065056,0,9487876,18315110,18315106,51.80
TOTAL,8000000,45000000,0,45000000,45000000,250,33271968,0,40939509,86272238,86272218,47.45
