Layer,Compute,ConfigModeled,ConfigOverlapped,ResidualConfig,ConfigStall,DrainStall,DataStall,PrefetchFetchedBytes,DramBusy,WallClock,Total,DRAMBusyPct
Embeddings,500000,625,0,625,625,50,4810,512,501570,505489,505485,99.22
Attn_1,8000000,938,938,0,0,50,4577,2048064,2048988,8004630,8004627,25.60
FFN_1,6000000,469,469,0,0,50,4815,4096000,4097220,6004868,6004865,68.23
Attn_2,8000000,938,938,0,0,50,4569,2048000,2048732,8004622,8004619,25.59
FFN_2,6000000,469,469,0,0,50,4497,0,1024366,6004550,6004547,17.06
TOTAL,28500000,3439,2814,625,625,250,23268,8192576,9720876,28524159,28524143,34.08
